Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
hver,hver,150,238,1988
brug,brug,252,239,1981
hjem,hjem,254,240,1973
sige,sige,27,241,1958
formand,formand,210,242,1955
tage,tager,61,243,1951
forhold,forhold,248,244,1928
god,bedste,66,245,1921
stor,større,42,246,1893
fortsat,fortsat,272,247,1891
stor,stort,42,248,1877
verden,verden,176,249,1872
mål,mål,234,250,1843
min,min,155,251,1835
forbindelse,forbindelse,276,252,1814
kort,kort,246,253,1805
måde,måde,258,254,1800
rundt,rundt,281,255,1792
plads,plads,231,256,1790
holde,holde,119,257,1790
morgen,morgen,262,258,1766
mulighed,mulighed,180,259,1758
hun,hende,37,260,1745
længe,længere,173,261,1738
lille,lille,123,262,1733
vide,ved,183,263,1718
finde,fundet,82,264,1701
tro,tror,193,265,1690
måned,måneder,156,266,1678
aldrig,aldrig,294,267,1677
sætte,sat,105,268,1671
komme,kommet,35,269,1646
indtil,indtil,302,270,1645
ske,sker,110,271,1645
rigtig,rigtig,216,272,1641
forskellig,forskellige,285,273,1639
heller,heller,305,274,1632
amerikansk,amerikanske,273,275,1622
mulig,muligt,238,276,1611
ny,nyt,51,277,1610
gøre,gjort,56,278,1609
seks,seks,308,279,1600
uge,uger,99,280,1578
sted,steder,78,281,1577
alligevel,alligevel,313,282,1571
kamp,kampen,111,283,1568
ellers,ellers,315,284,1566
hjælp,hjælp,301,285,1565
faktisk,faktisk,311,286,1564
liv,liv,184,287,1560
god,bedre,66,288,1559
en,én,4,289,1554
forklare,forklarer,263,290,1554
kvinde,kvinder,137,291,1553
komme,kommende,35,292,1553
krig,krigen,200,293,1550
direktør,direktør,275,294,1550
måtte,måtte,100,295,1543
venstre,venstre,269,296,1543
ting,ting,278,297,1536
god,gode,66,298,1529
tage,tog,61,299,1528
tæt,tæt,304,300,1525
bruge,bruge,112,301,1515
gå,gået,55,302,1511
by,byen,152,303,1506
land,lande,73,304,1503
begge,begge,330,305,1502
hvilken,hvilket,209,306,1499
hver,hvert,150,307,1498
kamp,kamp,111,308,1492
vinde,vandt,148,309,1486
ramme,ramt,171,310,1476
senere,senere,337,311,1472
især,især,338,312,1470
synes,synes,316,313,1468
mand,mænd,80,314,1448
følge,følge,192,315,1435
fald,fald,342,316,1435
par,par,344,317,1432
handle,handler,251,318,1429
ekstra,ekstra,347,319,1422
