Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
éxito,éxitos,624,3628,157
ª,ª,3088,3629,157
software,software,2997,3630,157
argumento,argumento,1963,3631,157
asumir,asumió,922,3632,157
favorable,favorable,2454,3633,157
formal,formal,2616,3634,157
juvenil,juvenil,2444,3635,157
vídeo,vídeos,1243,3636,157
difusión,difusión,3093,3637,157
azúcar,azúcar,2832,3638,157
plato,plato,1979,3639,157
lanzar,lanzado,653,3640,157
citado,citado,1952,3641,157
básico,básico,1029,3642,157
acoso,acoso,3032,3643,157
discriminación,discriminación,2989,3644,157
preparar,preparar,987,3645,157
metropolitano,metropolitana,2399,3646,157
triste,triste,2991,3647,157
estrés,estrés,3097,3648,157
detener,detuvo,548,3649,157
aprobar,aprobar,748,3650,157
trabajar,trabajó,133,3651,157
gobernar,gobernar,1888,3652,157
noche,noches,278,3653,156
pacífico,pacífico,2226,3654,156
deportivo,deportivos,755,3655,156
curso,cursos,873,3656,156
bar,bar,2071,3657,156
cerrado,cerrado,1491,3658,156
llevar él,llevarse,1706,3659,156
afición,afición,2835,3660,156
llamado,llamados,536,3661,156
profesión,profesión,2790,3662,156
cartel,cartel,2336,3663,156
estadística,estadísticas,2611,3664,156
cinta,cinta,2655,3665,156
quién,quiénes,701,3666,156
refugio,refugio,2627,3667,156
economista,economista,2597,3668,156
mostrar,mostraron,204,3669,156
panel,panel,2274,3670,155
piedra,piedra,2105,3671,155
cuestionar,cuestionó,1508,3672,155
atentado,atentado,2530,3673,155
materia,materias,824,3674,155
rico,rico,1009,3675,155
aclarar,aclarar,1014,3676,155
conducción,conducción,3069,3677,155
ubicar,ubica,1320,3678,155
faltar,faltan,879,3679,155
procedimiento,procedimientos,1346,3680,155
colocar,colocar,1082,3681,155
mala,malas,2735,3682,155
gala,gala,2944,3683,155
pensar,pensé,294,3684,155
ir él,irse,3034,3685,155
recesión,recesión,3035,3686,155
beneficiario,beneficiarios,2528,3687,154
responsabilidad,responsabilidades,807,3688,154
previsto,prevista,919,3689,154
expresar,expresado,370,3690,154
nacionalidad,nacionalidad,2668,3691,154
edil,edil,2741,3692,154
opinión,opiniones,1036,3693,154
paul,paul,3127,3694,154
culpable,culpable,2347,3695,154
primavera,primavera,3071,3696,154
tú,os,104,3697,154
potable,potable,3119,3698,154
laura,laura,3130,3699,154
gastronomía,gastronomía,3134,3700,154
jefe,jefes,517,3701,154
fábrica,fábrica,2497,3702,154
salir,salen,162,3703,154
radical,radical,2288,3704,154
afortunadamente,afortunadamente,3139,3705,154
estár,estábamos,3140,3706,154
ocurrir,ocurrido,304,3707,153
invitar,invita,1202,3708,153
confesar,confesó,1768,3709,153
establecer,estableció,564,3710,153
descubrir,descubrir,1157,3711,153
estratégico,estratégica,1429,3712,153
mecanismo,mecanismos,1678,3713,153
censo,censo,2749,3714,153
ofensiva,ofensiva,3090,3715,153
técnica,técnica,2094,3716,153
inversor,inversores,2610,3717,153
multa,multa,2061,3718,153
denunciar,denunciado,691,3719,153
realizar,realizarán,85,3720,153
riqueza,riqueza,2855,3721,153
contento,contento,2063,3722,153
malo,malos,998,3723,153
consultar,consultar,1622,3724,153
arquero,arquero,2975,3725,153
macron,macron,3153,3726,153
demás,demás,3154,3727,153
cirugía,cirugía,2619,3728,153
ver,veía,51,3729,153
parlamentario,parlamentario,1561,3730,153
feliz,felices,1136,3731,153
álvarez,álvarez,3157,3732,152
vencer,vencer,1439,3733,152
ingeniero,ingeniero,2364,3734,152
permitir,permitan,161,3735,152
n,n,3158,3736,152
potente,potente,2598,3737,152
mantener,mantendrá,171,3738,152
eficiente,eficiente,2574,3739,152
confirmar,confirma,345,3740,152
