Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
niekas,nieko,163,217,1643
vyras,vyras,118,218,1642
gyventojas,gyventojų,94,219,1631
moteris,moteris,112,220,1631
kitas,kiti,23,221,1630
būtent,būtent,313,222,1630
kalbėti,kalbėjo,140,223,1623
žinoma,žinoma,300,224,1608
karantinas,karantino,136,225,1601
maistas,maisto,197,226,1594
viso,viso,319,227,1589
darbas,darbą,44,228,1582
šalis,šalių,45,229,1577
atvejis,atveju,59,230,1577
kitas,kitas,23,231,1571
v.,v,323,232,1564
vieta,vietoje,49,233,1562
bent,bent,326,234,1557
juk,juk,327,235,1557
žmogus,žmogaus,19,236,1551
kultūra,kultūros,246,237,1551
būdas,būdu,150,238,1546
visiškai,visiškai,332,239,1545
turėti,turime,18,240,1530
žmogus,žmonėms,19,241,1525
pasaulis,pasaulyje,92,242,1520
tuo,tuo,341,243,1515
vos,vos,346,244,1506
naujas,naujų,53,245,1506
visas,visos,17,246,1504
užsienis,užsienio,258,247,1500
pats,patys,47,248,1498
amžius,amžiaus,245,249,1493
prekyba,prekybos,252,250,1493
galbūt,galbūt,351,251,1481
rusija,rusijos,188,252,1481
atvejis,atvejai,59,253,1479
tiesa,tiesa,291,254,1475
negalėti,negali,143,255,1471
pasakoti,pasakojo,178,256,1465
pradėti,pradėjo,100,257,1463
vykti,vyksta,168,258,1459
visas,visiems,17,259,1456
įmonė,įmonės,109,260,1455
du,dvi,80,261,1448
kuris,kurio,6,262,1445
vieta,vietą,49,263,1437
dėmesys,dėmesį,182,264,1435
saugumas,saugumo,232,265,1421
pandemija,pandemijos,203,266,1420
verslas,verslo,183,267,1416
lietuva,lietuva,261,268,1416
j.,j,364,269,1414
vyriausybė,vyriausybės,142,270,1412
ministerija,ministerija,173,271,1409
atlikti,atlikti,126,272,1409
gyventojas,gyventojai,94,273,1396
situacija,situacija,104,274,1396
kartais,kartais,369,275,1394
vaikas,vaikai,54,276,1393
daryti,daryti,192,277,1393
kovas,kovo,350,278,1377
t.,t,372,279,1375
vanduo,vandens,225,280,1372
g,g,373,281,1372
prezidentas,prezidento,160,282,1370
šis,šie,7,283,1364
dažnai,dažniausiai,117,284,1364
jis,jai,2,285,1362
kada,kada,377,286,1352
jis,jas,2,287,1343
pas,pas,382,288,1336
kas,ko,31,289,1332
keli,kelių,174,290,1332
visas,visas,17,291,1325
tu,jums,76,292,1305
para,parą,309,293,1304
pats,pati,47,294,1284
kuris,kuriuos,6,295,1283
kadangi,kadangi,401,296,1280
vyriausybė,vyriausybė,142,297,1280
rajonas,rajone,116,298,1279
transportas,transporto,361,299,1279
