Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
rutina,rutina,4603,16063,27
proba,probe,4358,16064,27
izvještaj,izvještaja,2704,16065,27
frustracija,frustracije,6404,16066,27
interakcija,interakcije,5278,16067,27
pisac,pisca,3203,16068,27
otkriti,otkrile,272,16069,27
poraditi,poraditi,9590,16070,27
polemika,polemike,7898,16071,27
spomenuat,spomenutih,10595,16072,27
klijent,klijenta,1920,16073,27
mržnja,mržnja,2775,16074,27
korektno,korektno,10597,16075,27
budeti,budem,6249,16076,27
faktor,faktori,2538,16077,27
objavljivanje,objavljivanje,5906,16078,27
reputacija,reputaciju,6750,16079,27
najdulje,najdulje,10341,16080,27
kvarner,kvarneru,3522,16081,27
normalan,normalni,1127,16082,27
modni,modnoj,1614,16083,27
evidentno,evidentno,10605,16084,27
sjeveroistok,sjeveroistoku,10113,16085,27
jedan,jednoga,25,16086,27
okruživati,okružuje,6093,16087,27
graditi,gradimo,1358,16088,27
mehanizam,mehanizma,2712,16089,27
an,ane,2157,16090,27
osuditi,osudili,1658,16091,27
kolektiv,kolektiv,5600,16092,27
zaljev,zaljevu,6678,16093,27
vanjski,vanjska,800,16094,27
ubrzati,ubrzala,2805,16095,27
teniski,teniska,2014,16096,27
boksač,boksač,5093,16097,27
aviona,avione,4078,16098,27
moderan,modernu,1199,16099,27
namijeniti,namijenjeno,2278,16100,27
proglasiti,proglašeni,1438,16101,27
nov,najnovijem,33,16102,27
smatrati,smatrajući,205,16103,27
podijeliti,podijeljen,942,16104,27
klim,klimu,8808,16105,27
sjećati,sjećati,1798,16106,27
zran,zrna,9406,16107,27
bogat,bogatom,1124,16108,27
priljev,priljev,7612,16109,27
dovoditi,dovoditi,1544,16110,27
programski,programskog,3752,16111,27
everton,evertona,6342,16112,27
kandidirati,kandidirao,3067,16113,27
andrew,andrew,10360,16114,27
kontrol,kontroli,10139,16115,27
promatrač,promatrači,4382,16116,27
točka,točki,1200,16117,27
angažman,angažmanu,2056,16118,27
