Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
ja,ja,229,229,1694
Welt,welt,218,230,1691
weniger,weniger,139,231,1687
zurück,zurück,232,232,1677
Woche,wochen,105,233,1665
Montag,montag,235,234,1665
anderer,anderem,52,235,1654
deutsch,deutsche,88,236,1653
werden,würden,6,237,1651
statt,statt,237,238,1638
Angabe,angaben,234,239,1637
Mittwoch,mittwoch,240,240,1607
Samstag,samstag,241,241,1603
möglich,möglich,158,242,1585
haben,hätten,7,243,1581
ebenfalls,ebenfalls,245,244,1580
einfach,einfach,191,245,1575
zuletzt,zuletzt,248,246,1572
sehen,sieht,80,247,1558
Leben,leben,216,248,1552
Platz,platz,251,249,1551
Spiel,spiel,225,250,1529
wohl,wohl,253,251,1518
bisher,bisher,255,252,1515
Dienstag,dienstag,256,253,1514
mehrere,mehrere,172,254,1506
einiger,einige,156,255,1504
ihnen,ihnen,262,256,1492
spät,später,182,257,1491
deshalb,deshalb,264,258,1486
zeigen,zeigt,98,259,1477
pro,pro,267,260,1474
Teil,teil,201,261,1469
Fall,fall,154,262,1462
zehn,zehn,270,263,1456
kurz,kurz,167,264,1456
eigen,eigenen,149,265,1445
gelten,gilt,161,266,1444
zunächst,zunächst,274,267,1436
außerdem,außerdem,275,268,1434
aktuell,aktuell,129,269,1422
bleiben,bleibt,97,270,1412
heißen,heißt,175,271,1408
Weg,weg,233,272,1407
mir,mir,281,273,1404
zweiter,zweiten,155,274,1399
Geld,geld,269,275,1372
zuvor,zuvor,288,276,1371
schnell,schnell,177,277,1368
finden,finden,90,278,1366
wenig,wenig,287,279,1364
natürlich,natürlich,260,280,1359
der,denen,0,281,1354
machen,gemacht,56,282,1350
unser,unsere,102,283,1349
zusammen,zusammen,289,284,1332
sollen,sollten,34,285,1325
klar,klar,199,286,1321
können,könnten,19,287,1312
sechs,sechs,295,288,1308
lange,lange,297,289,1308
trotz,trotz,298,290,1308
gar,gar,301,291,1304
darüber,darüber,303,292,1296
haben,hätte,7,293,1296
Straße,straße,238,294,1293
Krieg,krieg,239,295,1292
Person,personen,203,296,1290
genau,genau,226,297,1287
Russland,russland,305,298,1282
welcher,welche,176,299,1277
vieler,vielen,73,300,1275
Frage,frage,193,301,1274
Team,team,231,302,1271
Thema,thema,224,303,1270
erklären,erklärt,145,304,1267
Frau,frauen,123,305,1262
oft,oft,310,306,1254
bekannt,bekannt,206,307,1249
knapp,knapp,283,308,1245
stark,stark,130,309,1242
bleiben,bleiben,97,310,1240
daher,daher,313,311,1240
weiterhin,weiterhin,316,312,1235
gehen,ging,50,313,1226
sein,bin,3,314,1220
weit,weiteren,67,315,1217
nächster,nächsten,186,316,1215
russisch,russische,112,317,1210
gut,besser,46,318,1209
Einsatz,einsatz,293,319,1204
