Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
gang,ganger,77,237,1951
leder,leder,199,238,1913
stor,største,48,239,1911
alle,alle,262,240,1911
utenfor,utenfor,263,241,1879
synes,synes,227,242,1878
oppdatere,oppdatert,259,243,1872
vinne,vant,127,244,1871
seks,seks,266,245,1862
ti,ti,268,246,1844
vår,vår,135,247,1839
opplyse,opplyser,237,248,1828
tips,tips,264,249,1818
kun,kun,271,250,1802
én,én,133,251,1796
annen,annen,44,252,1791
menneske,mennesker,235,253,1784
land,land,100,254,1781
dersom,dersom,273,255,1781
gjøre,gjorde,53,256,1776
liten,mindre,92,257,1759
penge,penger,217,258,1746
lenge,lenge,180,259,1744
nesten,nesten,282,260,1743
du,deg,64,261,1739
hver,hver,162,262,1735
klar,klar,137,263,1730
finne,finne,91,264,1730
egen,egen,152,265,1712
håpe,håper,252,266,1709
imidlertid,imidlertid,285,267,1705
bil,bilen,129,268,1701
lite,lite,286,269,1700
kamp,kamp,86,270,1694
år,årets,32,271,1694
sen,senere,223,272,1687
gå,gått,40,273,1684
dag,dager,51,274,1673
stor,større,48,275,1671
klokke,klokken,196,276,1666
tid,tiden,84,277,1659
år,årene,32,278,1646
sette,satt,111,279,1643
melde,melder,166,280,1630
klar,klart,137,281,1625
begge,begge,297,282,1624
ute,ute,299,283,1610
forrige,forrige,304,284,1592
kommune,kommune,138,285,1589
dag,dagens,51,286,1587
bruke,bruke,101,287,1586
stor,stort,48,288,1583
sist,sist,61,289,1578
hjemme,hjemme,307,290,1568
vanskelig,vanskelig,244,291,1553
lag,laget,146,292,1548
uke,uke,118,293,1512
starte,startet,178,294,1502
vei,veien,121,295,1499
liten,minst,92,296,1498
gammel,gammel,113,297,1487
hver,hvert,162,298,1486
går,går,329,299,1485
ung,unge,231,300,1468
drepe,drept,257,301,1466
meter,meter,301,302,1466
morgen,morgen,300,303,1462
legge,legger,96,304,1455
kvinne,kvinner,124,305,1431
komme,kommet,38,306,1426
trenge,trenger,288,307,1418
trolig,trolig,346,308,1415
lag,lag,146,309,1415
dag,dagen,51,310,1411
mai,mai,347,311,1408
klubb,klubben,215,312,1400
møte,møte,125,313,1399
følge,følge,163,314,1397
verden,verden,201,315,1395
skje,skjedde,123,316,1392
slutt,slutt,222,317,1389
gjelde,gjelder,305,318,1385
område,området,208,319,1381
video,video,272,320,1358
amerikansk,amerikanske,280,321,1355
rekke,rekke,294,322,1354
deres,deres,356,323,1344
kjent,kjent,284,324,1342
sykehus,sykehus,211,325,1333
foran,foran,359,326,1332
dårlig,dårlig,253,327,1329
mann,menn,67,328,1328
sende,sendt,165,329,1321
sesong,sesongen,185,330,1320
pågripe,pågrepet,317,331,1320
spesiell,spesielt,281,332,1319
full,full,247,333,1319
hvem,hvem,362,334,1315
ting,ting,328,335,1312
gi,gitt,69,336,1309
liv,livet,198,337,1306
bil,bil,129,338,1303
hjem,hjem,338,339,1301
jobbe,jobber,164,340,1297
legge,lagt,96,341,1292
eneste,eneste,367,342,1286
lang,lang,97,343,1277
åtte,åtte,365,344,1276
forhold,forhold,258,345,1274
fengsel,fengsel,331,346,1267
bety,betyr,314,347,1266
e,e,377,348,1264
president,president,270,349,1260
rett,retten,131,350,1257
ettermiddag,ettermiddag,353,351,1250
kort,kort,295,352,1242
regjering,regjeringen,233,353,1241
spille,spille,117,354,1240
år,året,32,355,1234
holde,holdt,143,356,1232
ofte,ofte,340,357,1231
hun,henne,41,358,1230
lenkeadresse,lenkeadresse,389,359,1230
holde,holde,143,360,1222
barn,barna,112,361,1220
mars,mars,393,362,1215
mange,fleste,31,363,1214
vår,våre,135,364,1213
altså,altså,396,365,1210
jobb,jobb,225,366,1204
hjelp,hjelp,374,367,1195
måte,måte,250,368,1192
tross,tross,405,369,1191
kamp,kamper,86,370,1190
enda,enda,407,371,1187
dømme,dømt,342,372,1179
min,min,234,373,1174
time,timer,236,374,1170
måned,måneder,218,375,1166
legge,la,96,376,1165
inne,inne,411,377,1164
kommune,kommunen,138,378,1159
alltid,alltid,413,379,1152
by,byen,216,380,1151
feil,feil,360,381,1146
kopi,kopier,401,382,1144
spørsmål,spørsmål,265,383,1143
politidistrikt,politidistrikt,385,384,1142
bruke,brukt,101,385,1142
finnes,finnes,372,386,1142
uke,uker,118,387,1140
skje,skjer,123,388,1140
fortsette,fortsetter,241,389,1140
distriktsnyhete,distriktsnyheter,420,390,1137
finne,fant,91,391,1134
ansatt,ansatte,352,392,1130
familie,familien,255,393,1128
liv,liv,198,394,1126
hennes,hennes,426,395,1125
kontakt,kontakt,375,396,1124
verden,verdens,201,397,1116
tidlig,tidlig,79,398,1115
milliard,milliarder,378,399,1112
kvinne,kvinne,124,400,1106
alvorlig,alvorlig,296,401,1106
bruke,bruker,101,402,1101
stå,sto,85,403,1100
vise,viste,88,404,1100
liten,liten,92,405,1098
kvinne,kvinnen,124,406,1098
situasjon,situasjonen,283,407,1096
skade,skadet,151,408,1090
gi,ga,69,409,1088
ulykke,ulykken,310,410,1084
møte,møter,125,411,1084
kjøre,kjørte,158,412,1082
legge,legge,96,413,1075
vinne,vinne,127,414,1068
sette,sette,111,415,1068
bort,bort,431,416,1061
støtte,støtte,277,417,1061
ball,ballen,409,418,1052
januar,januar,461,419,1050
side,side,261,420,1050
fast,fast,410,421,1046
desember,desember,465,422,1041
stenge,stengt,326,423,1040
person,person,120,424,1038
juli,juli,464,425,1036
si,sagt,20,426,1032
brann,brann,243,427,1030
sitte,sitter,197,428,1025
slå,slo,161,429,1023
god,best,35,430,1023
foreløpig,foreløpig,437,431,1023
sesong,sesong,185,432,1021
spille,spiller,117,433,1020
miste,mistet,292,434,1018
problem,problemer,238,435,1018
nemlig,nemlig,472,436,1012
skade,skader,151,437,1011
bruk,bruk,398,438,1011
akkurat,akkurat,475,439,1003
unna,unna,476,440,1000
slik,slike,89,441,998
tv,tv,478,442,997
eksempel,eksempel,404,443,996
august,august,480,444,995
se,så,52,445,995
fall,fall,451,446,995
holde,holder,143,447,994
del,deler,145,448,989
sentrum,sentrum,484,449,984
stå,stå,85,450,980
hvorfor,hvorfor,489,451,975
spille,spilte,117,452,975
ekstra,ekstra,490,453,974
ende,endte,311,454,973
melding,melding,316,455,970
sikte,siktet,350,456,966
stadig,stadig,483,457,966
skole,skolen,214,458,965
all,all,80,459,964
ulik,ulike,450,460,964
fornøyd,fornøyd,441,461,964
brann,brannen,243,462,957
tredje,tredje,496,463,956
juni,juni,499,464,953
gjerne,gjerne,502,465,950
politi,politi,55,466,947
kraftig,kraftig,397,467,943
hevde,hevder,348,468,937
burde,burde,167,469,937
syria,syria,506,470,936
be,ber,232,471,936
score,scoret,371,472,935
følge,følger,163,473,934
slå,slått,161,474,932
jobb,jobben,225,475,930
høyre,høyre,510,476,930
sted,steder,128,477,928
stat,statens,276,478,927
lenge,lenger,180,479,927
egen,egne,152,480,926
sted,sted,128,481,924
september,september,516,482,922
bilde,bildet,182,483,922
kjøre,kjørt,158,484,918
ganske,ganske,519,485,918
total,totalt,446,486,914
spille,spilt,117,487,914
særlig,særlig,513,488,914
skje,skjedd,123,489,913
informasjon,informasjon,440,490,908
tro,tro,93,491,907
klare,klarte,204,492,907
aller,aller,525,493,904
vel,vel,523,494,901
egen,eget,152,495,899
dø,døde,376,496,899
start,start,337,497,899
fotball,fotball,466,498,894
uansett,uansett,532,499,893
øke,økt,187,500,892
sykehus,sykehuset,211,501,890
sommer,sommer,308,502,889
svensk,svenske,373,503,887
lett,lett,322,504,883
betale,betale,287,505,882
starte,starter,178,506,880
en,ei,4,507,878
borte,borte,535,508,875
selskap,selskapet,321,509,874
nei,nei,538,510,872
handle,handler,391,511,870
føle,føler,333,512,866
jobbe,jobbet,164,513,866
kontroll,kontroll,434,514,866
skole,skole,214,515,865
slutt,slutten,222,516,862
uke,uken,118,517,858
jobbe,jobbe,164,518,857
overfor,overfor,544,519,855
spiller,spillere,248,520,852
vise,vise,88,521,852
oktober,oktober,549,522,849
april,april,550,523,848
avis,avisen,275,524,845
klokke,klokka,196,525,842
ønske,ønsket,116,526,842
forbindelse,forbindelse,526,527,840
egentlig,egentlig,534,528,839
medium,medier,334,529,837
faktisk,faktisk,529,530,833
frykte,frykter,448,531,830
februar,februar,560,532,828
nordmann,nordmenn,312,533,828
omgang,omgang,474,534,827
direkte,direkte,561,535,827
bilde,bilder,182,536,826
parti,partiet,229,537,826
åpne,åpnet,302,538,823
enkelt,enkelte,527,539,822
sette,setter,111,540,820
død,død,354,541,817
politisk,politisk,303,542,817
kilometer,kilometer,536,543,816
rask,raskt,343,544,812
nummer,nummer,559,545,812
bekrefte,bekrefter,315,546,811
kjenne,kjenner,313,547,808
sette,satte,111,548,805
myndighet,myndigheter,309,549,804
begynne,begynte,260,550,802
november,november,584,551,800
journalist,journalist,380,552,800
forklare,forklarer,323,553,799
par,par,455,554,796
innen,innen,588,555,795
sterk,sterkt,195,556,792
league,league,572,557,792
hverandre,hverandre,590,558,791
lov,lov,351,559,789
ni,ni,597,560,787
statsminister,statsminister,462,561,785
northug,northug,599,562,785
finne,finner,91,563,784
riktig,riktig,514,564,784
internasjonal,internasjonale,364,565,782
trykk,trykk,566,566,782
deretter,deretter,603,567,781
våpen,våpen,567,568,780
politisk,politiske,303,569,779
united,united,605,570,779
kjøre,kjøre,158,571,779
form,form,433,572,772
hard,hardt,386,573,770
krav,krav,429,574,768
andre,andre,612,575,766
helg,helgen,291,576,764
sak,saker,87,577,762
fort,fort,568,578,761
the,the,615,579,761
bil,biler,129,580,761
sitte,satt,197,581,760
snakke,snakket,224,582,760
glad,glad,517,583,758
regjering,regjering,233,584,755
hus,huset,336,585,754
dere,dere,621,586,753
viktig,viktigste,130,587,753
venstre,venstre,595,588,753
snakke,snakke,224,589,751
kreve,krever,327,590,751
svar,svar,458,591,750
nord,nord,591,592,749
ennå,ennå,627,593,749
antall,antall,445,594,747
fortelle,fortalte,99,595,745
nær,nærmere,212,596,745
nettopp,nettopp,629,597,744
lage,laget,278,598,742
la,la,384,599,742
høy,høy,174,600,741
tingrett,tingrett,492,601,740
ja,ja,631,602,738
år,års,32,603,738
mål,målet,153,604,737
land,landets,100,605,733
fortsette,fortsette,241,606,732
formiddag,formiddag,607,607,731
sju,sju,635,608,731
vente,ventet,249,609,728
arbeid,arbeid,357,610,727
ikkje,ikkje,636,611,726
bo,bor,325,612,724
rest,resten,587,613,723
publikum,publikum,611,614,722
mulighet,mulighet,274,615,721
varsle,varslet,416,616,721
valg,valget,339,617,721
klare,klarer,204,618,721
hovedmeny,hovedmeny,642,619,721
hovedinnhold,hovedinnhold,639,620,721
ledelse,ledelsen,468,621,720
årsak,årsaken,463,622,717
falle,falt,421,623,717
debatt,debatten,399,624,717
imot,imot,650,625,713
ferdig,ferdig,576,626,712
sikre,sikre,324,627,710
ein,ein,638,628,710
skrive,skrev,94,629,704
bygge,bygge,306,630,702
ol,ol,657,631,697
skje,skje,123,632,697
melde,meldt,166,633,693
snakke,snakker,224,634,692
vår,vårt,135,635,688
angrep,angrep,388,636,687
bruke,brukes,101,637,686
sak,sak,87,638,686
vanlig,vanlig,447,639,686
møte,møtte,125,640,683
premi,premier,667,641,683
hjelpe,hjelpe,366,642,681
mobilversjon,mobilversjonen,673,643,681
slå,slå,161,644,680
gang,gangen,77,645,680
valg,valg,339,646,675
sterk,sterk,195,647,672
real,real,671,648,672
forelder,foreldre,379,649,672
snar,snart,600,650,671
lang,lange,97,651,671
ene,ene,664,652,670
utsette,utsatt,504,653,667
behandling,behandling,531,654,667
vinne,vunnet,127,655,666
ligge,lå,136,656,666
stille,stille,267,657,664
trener,trener,443,658,663
vite,vite,156,659,661
bane,banen,554,660,659
navn,navn,444,661,656
myndighet,myndighetene,309,662,653
daglig,daglig,622,663,652
høy,høyere,174,664,652
vente,venter,249,665,649
samle,samlet,425,666,648
spennende,spennende,702,667,648
hus,hus,336,668,647
alene,alene,704,669,646
eavis,eavis,706,670,646
vise,vist,88,671,644
skrive,skrevet,94,672,643
stat,staten,276,673,643
vold,vold,624,674,643
periode,periode,402,675,643
nær,nær,212,676,642
opptatt,opptatt,700,677,642
spiller,spillerne,248,678,639
lokal,lokale,442,679,638
høy,høyt,174,680,637
hente,hentet,368,681,637
tape,tapte,320,682,637
film,filmen,344,683,637
ansvar,ansvar,453,684,633
tiltak,tiltak,580,685,633
samt,samt,719,686,633
sterk,sterke,195,687,633
liten,små,92,688,632
sikre,sikret,324,689,632
grad,grad,511,690,632
velge,valgte,219,691,631
mene,mente,63,692,629
pause,pause,640,693,626
hvilken,hvilke,383,694,625
utover,utover,727,695,625
direktør,direktør,655,696,623
tvil,tvil,722,697,623
bakke,bakken,625,698,618
nylig,nylig,728,699,618
tenke,tenke,279,700,616
stille,stiller,267,701,614
endelig,endelig,620,702,613
havne,havnet,497,703,612
sommer,sommeren,308,704,611
mat,mat,593,705,610
tiltalt,tiltalte,672,706,610
virkelig,virkelig,656,707,609
østfold,østfold,744,708,609
lett,lettere,322,709,608
føre,føre,254,710,607
of,of,746,711,607
behov,behov,569,712,606
reise,reise,290,713,606
sånn,sånn,630,714,606
lage,lage,278,715,605
vann,vann,481,716,603
velge,valgt,219,717,601
stemme,stemme,293,718,600
skade,skadd,151,719,600
måte,måten,250,720,598
jente,jenta,269,721,598
klar,klare,137,722,597
via,via,760,723,597
tiltale,tiltalt,515,724,596
bruke,brukte,101,725,595
kjøpe,kjøpe,318,726,595
velge,velger,219,727,593
offentlig,offentlige,439,728,592
rapport,rapporten,424,729,592
hendelse,hendelsen,503,730,590
omfattende,omfattende,768,731,589
spørsmål,spørsmålet,265,732,589
no,no,763,733,588
hundre,hundre,769,734,586
meget,meget,778,735,583
begynne,begynner,260,736,583
venn,venner,469,737,581
bekrefte,bekreftet,315,738,580
hode,hodet,669,739,579
liverpool,liverpool,743,740,579
sikker,sikkert,370,741,579
slite,sliter,422,742,579
side,siden,261,743,578
snakk,snakk,781,744,578
tap,tap,634,745,577
politi,politiets,55,746,577
dei,dei,783,747,576
virke,virker,473,748,574
understreke,understreker,618,749,571
far,faren,452,750,569
gammel,eldre,113,751,568
pris,prisen,332,752,568
advokat,advokat,601,753,568
rykke,rykket,592,754,568
finnmark,finnmark,780,755,568
sosial,sosiale,577,756,567
forslag,forslag,415,757,565
skape,skape,289,758,565
arbeid,arbeidet,357,759,564
brannvesen,brannvesenet,774,760,563
sende,sendte,165,761,563
fare,fare,770,762,561
vente,vente,249,763,561
derimot,derimot,809,764,561
samarbeid,samarbeid,579,765,560
høst,høst,449,766,558
ferd,ferd,757,767,558
like,liker,150,768,558
pris,pris,332,769,558
enkel,enkelt,423,770,558
full,fullt,247,771,555
beskjed,beskjed,708,772,555
penge,pengene,217,773,555
slett,slett,802,774,554
sekund,sekunder,651,775,553
madrid,madrid,748,776,553
dessuten,dessuten,821,777,553
start,starten,337,778,551
britisk,britiske,647,779,551
bidra,bidra,400,780,551
politikk,politikk,610,781,549
rød,røde,500,782,546
tur,tur,435,783,546
prøve,prøver,298,784,546
dom,dommen,608,785,543
viktig,viktige,130,786,542
prøve,prøve,298,787,542
slå,slår,161,788,541
øke,øke,187,789,539
runde,runde,501,790,539
fremdeles,fremdeles,844,791,539
dag,dagene,51,792,538
spill,spill,533,793,537
drap,drap,428,794,536
mange,flest,31,795,536
enig,enige,479,796,535
per,per,845,797,534
serie,serien,604,798,534
forelder,foreldrene,379,799,533
parti,partiene,229,800,533
ordføre,ordfører,852,801,531
sarpsborg,sarpsborg,853,802,531
involvere,involvert,633,803,530
forslag,forslaget,415,804,530
ord,ord,581,805,529
tydelig,tydelig,661,806,529
ingenting,ingenting,858,807,528
vegvesen,vegvesen,654,808,528
elev,elevene,395,809,527
kritikk,kritikk,573,810,526
forskjellig,forskjellige,726,811,526
selge,solgt,330,812,525
bilde,bilde,182,813,525
min,mitt,234,814,524
stoppe,stoppet,457,815,523
svare,svarer,382,816,522
langs,langs,864,817,522
tro,trodde,93,818,522
stemme,stemmer,293,819,521
tenke,tenker,279,820,519
hete,heter,688,821,519
nilse,nilsen,875,822,517
troms,troms,876,823,515
seier,seieren,181,824,515
sende,sende,165,825,514
trening,trening,717,826,514
din,din,470,827,513
tysk,tyske,677,828,513
historie,historie,390,829,511
bekymre,bekymret,691,830,511
tall,tall,406,831,511
tom,tom,663,832,511
føre,førte,254,833,511
drap,drapet,428,834,509
petters,pettersen,871,835,509
lede,ledet,361,836,508
alvorlig,alvorlige,296,837,507
innrømme,innrømmer,553,838,505
offentlig,offentlig,439,839,504
eg,eg,894,840,504
midt,midt,614,841,504
overraske,overrasket,495,842,503
klare,klare,204,843,503
vurdere,vurdere,345,844,503
uke,uka,118,845,503
besøk,besøk,789,846,502
be,ba,232,847,502
fransk,franske,658,848,501
ytterligere,ytterligere,902,849,500
russisk,russiske,681,850,500
kommune,kommunene,138,851,499
hente,hente,368,852,498
vinne,vinner,127,853,497
familie,familie,255,854,497
mulighet,muligheten,274,855,497
prosjekt,prosjektet,509,856,496
usas,usas,907,857,496
mor,mor,414,858,495
politiker,politikerne,418,859,495
melde,meldte,166,860,494
rett,rette,131,861,494
tilbud,tilbud,602,862,494
film,film,344,863,493
delta,delta,417,864,493
fortelle,fortelle,99,865,493
måned,måned,218,866,492
forsøk,forsøk,758,867,491
ellers,ellers,915,868,491
skyte,skutt,512,869,490
hovedstad,hovedstaden,714,870,490
helse,helse,827,871,490
liten,lille,92,872,489
mor,moren,414,873,489
avtale,avtalen,419,874,489
dram,drammen,922,875,488
stadion,stadion,903,876,487
samfunn,samfunnet,552,877,486
press,press,693,878,485
kommentere,kommentere,674,879,485
time,time,236,880,483
helst,helst,934,881,483
historie,historien,390,882,483
unngå,unngå,739,883,483
drive,driver,408,884,482
fri,fri,522,885,482
tett,tett,731,886,482
jente,jenter,269,887,481
øke,øker,187,888,481
høre,høre,341,889,481
grei,greit,785,890,480
ramme,rammet,494,891,479
få,færre,22,892,478
hald,halden,896,893,478
problem,problemet,238,894,478
plan,planen,369,895,477
åpne,åpner,302,896,474
telemark,telemark,938,897,474
vekk,vekk,956,898,472
true,truet,644,899,471
overgrep,overgrep,730,900,469
skade,skade,151,901,469
vestfold,vestfold,963,902,469
fly,fly,403,903,468
trekke,trekker,335,904,467
tak,tak,557,905,466
avslutte,avsluttet,438,906,466
all,alt,80,907,465
kveld,kvelden,119,908,465
operasjonsleder,operasjonsleder,814,909,465
nyhetsbyrå,nyhetsbyrået,895,910,465
oppleve,opplever,349,911,465
kjenne,kjent,313,912,464
råd,råd,812,913,464
lede,leder,361,914,464
fantastisk,fantastisk,761,915,464
kritisk,kritisk,699,916,464
politiker,politikere,418,917,463
topp,toppen,454,918,463
møte,møtt,125,919,463
rolle,rolle,583,920,463
enig,enig,479,921,461
høst,høsten,449,922,461
vite,visste,156,923,461
lag,lagene,146,924,460
skape,skaper,289,925,459
møte,møtet,125,926,459
område,områder,208,927,459
be,bedt,232,928,459
gruppe,gruppe,381,929,456
inntil,inntil,973,930,456
selvsagt,selvsagt,976,931,456
syv,syv,977,932,455
reagere,reagerer,582,933,455
vurdere,vurderer,345,934,455
lang,lengre,97,935,453
slippe,slipper,355,936,452
knytte,knyttet,712,937,452
elev,elever,395,938,451
oppdage,oppdaget,773,939,451
president,presidenten,270,940,451
landslag,landslaget,834,941,451
løsning,løsning,498,942,451
pasient,pasienter,518,943,450
reise,reiser,290,944,449
an,an,987,945,449
nordmann,nordmannen,312,946,449
privat,private,558,947,448
løp,løp,184,948,448
kalle,kaller,387,949,448
velge,velge,219,950,448
kaste,kastet,563,951,447
innenfor,innenfor,992,952,447
london,london,985,953,447
felles,felles,993,954,447
bord,bord,689,955,446
utenlandsk,utenlandske,793,956,445
tur,turen,435,957,445
kjøre,kjører,158,958,444
advare,advarer,705,959,443
ansvar,ansvaret,453,960,443
tape,tapt,320,961,442
skuffe,skuffet,724,962,442
halv,halv,546,963,442
føre,fører,254,964,441
sikker,sikker,370,965,441
dra,dro,392,966,440
økonomisk,økonomisk,539,967,439
bilde,bildene,182,968,439
påpeke,påpeker,779,969,438
avtale,avtale,419,970,438
flytte,flytte,430,971,437
styrke,styrke,542,972,436
far,far,452,973,435
høy,høye,174,974,434
