Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
alături,alături,285,239,1839
vedere,vedere,197,240,1829
miercuri,miercuri,287,241,1828
da,da,59,242,1827
primi,primit,121,243,1821
inclusiv,inclusiv,286,244,1806
fi,suntem,3,245,1792
rus,rus,66,246,1791
față,fața,111,247,1790
plus,plus,297,248,1786
tot,toată,32,249,1782
minister,ministerul,192,250,1780
bun,bun,74,251,1775
an,anului,25,252,1771
număr,numărul,154,253,1769
dată,dată,77,254,1763
spune,spun,41,255,1763
face,facă,33,256,1761
vârstă,vârstă,179,257,1756
european,europene,100,258,1755
printre,printre,314,259,1734
moment,momentul,101,260,1713
prezent,prezent,215,261,1709
vrea,vrea,18,262,1685
doi,doua,39,263,1684
preciza,precizat,212,264,1682
țară,țară,83,265,1661
perioadă,perioadă,113,266,1648
împreună,împreună,338,267,1640
daca,daca,337,268,1639
lume,lume,112,269,1631
alt,altă,58,270,1631
decembrie,decembrie,341,271,1630
transmite,transmis,177,272,1620
important,important,145,273,1618
lângă,lângă,346,274,1618
drept,drept,131,275,1617
bun,bună,74,276,1603
ultim,ultimele,85,277,1588
meu,noastră,67,278,1578
tot,totul,32,279,1575
mare,marea,43,280,1574
problemă,probleme,122,281,1570
veni,vine,91,282,1564
martie,martie,363,283,1556
sâmbătă,sâmbătă,364,284,1551
probabil,probabil,336,285,1551
trece,trecut,151,286,1536
valoare,valoare,146,287,1534
ales,ales,323,288,1531
acest,acestui,23,289,1514
duminică,duminică,345,290,1513
veni,venit,91,291,1491
nou,nouă,53,292,1483
început,începutul,263,293,1478
doi,ii,39,294,1476
caz,cazuri,86,295,1475
nivel,nivelul,125,296,1469
rus,rusă,66,297,1462
apă,apă,188,298,1461
europa,europa,391,299,1460
însemna,înseamnă,294,300,1458
viață,viața,143,301,1453
pune,pus,110,302,1436
februarie,februarie,400,303,1434
el,ele,19,304,1429
bărbat,bărbat,137,305,1428
dolar,dolari,377,306,1422
tot,toți,32,307,1422
fie,fie,402,308,1421
trecut,trecut,189,309,1416
iunie,iunie,405,310,1415
deși,deși,407,311,1412
septembrie,septembrie,408,312,1409
miliard,miliarde,360,313,1402
guvern,guvernul,166,314,1401
echipă,echipa,132,315,1398
muncă,muncă,218,316,1393
prim,primele,52,317,1391
ianuarie,ianuarie,420,318,1380
vedea,văzut,82,319,1368
putea,putem,24,320,1366
ucrainean,ucrainean,150,321,1366
european,europeană,100,322,1364
jur,jurul,296,323,1357
greu,greu,298,324,1350
deveni,devenit,142,325,1349
alt,alt,58,326,1347
