Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
ves,vsem,18,228,1695
marec,marca,281,229,1685
vse,vse,357,230,1678
primer,primerov,72,231,1674
konec,konca,73,232,1670
teden,tedna,77,233,1670
malo,malo,359,234,1669
bolnik,bolnikov,164,235,1658
leto,leti,17,236,1651
sploh,sploh,367,237,1644
ta,tej,9,238,1631
on,njimi,10,239,1630
povsem,povsem,375,240,1621
primer,primer,72,241,1621
način,način,239,242,1609
država,držav,44,243,1607
ukrep,ukrepi,67,244,1597
pot,poti,150,245,1563
slovenski,slovenske,52,246,1561
milijon,milijona,107,247,1557
veljati,velja,176,248,1557
zgolj,zgolj,391,249,1557
najprej,najprej,392,250,1556
imeti,imamo,20,251,1550
biti,ste,0,252,1549
deset,deset,241,253,1548
nekateri,nekateri,113,254,1536
država,država,44,255,1532
pot,pot,150,256,1529
šele,šele,404,257,1522
hitro,hitro,302,258,1521
približno,približno,406,259,1513
pomemben,pomembno,122,260,1510
stranka,stranke,161,261,1509
včeraj,včeraj,407,262,1508
svoj,svoj,33,263,1486
oblast,oblasti,299,264,1486
začetek,začetku,160,265,1481
razmera,razmere,163,266,1479
morati,morajo,47,267,1476
pandemija,pandemije,221,268,1474
skupina,skupine,111,269,1473
svoj,svojih,33,270,1472
svet,sveta,79,271,1469
vprašanje,vprašanje,194,272,1466
maj,maja,311,273,1465
veè,veè,419,274,1465
petek,petek,350,275,1462
drug,drugo,27,276,1460
nikoli,nikoli,427,277,1456
toda,toda,430,278,1452
hkrati,hkrati,431,279,1451
odločitev,odločitev,230,280,1440
zadnji,zadnjem,65,281,1424
kdo,kdo,314,282,1415
čez,čez,447,283,1412
imeti,imela,20,284,1410
nič,nič,354,285,1395
sobota,soboto,352,286,1393
prvič,prvič,456,287,1381
nedelja,nedeljo,326,288,1381
umreti,umrlo,188,289,1378
mesto,mesta,68,290,1374
policija,policija,172,291,1374
prvi,prvem,43,292,1372
naš,naše,78,293,1367
zaposlen,zaposlenih,154,294,1367
trije,treh,83,295,1366
sezona,sezone,120,296,1365
velik,veliko,40,297,1362
en,en,51,298,1358
tisti,tisti,97,299,1357
posebej,posebej,460,300,1356
predsednik,predsednika,96,301,1355
prvi,prvo,43,302,1353
odstotek,odstotka,95,303,1345
svet,svet,79,304,1344
biti,bom,0,305,1340
biti,boste,0,306,1335
poudariti,poudaril,234,307,1331
življenje,življenja,118,308,1328
začeti,začeli,88,309,1327
tekma,tekmi,84,310,1326
ponedeljek,ponedeljek,369,311,1326
toliko,toliko,473,312,1324
dom,doma,117,313,1324
dom,domu,117,314,1322
liga,lige,182,315,1321
biti,nisem,0,316,1314
šest,šest,287,317,1311
tokrat,tokrat,482,318,1308
en,enega,51,319,1306
on,njih,10,320,1292
težava,težave,142,321,1289
biti,bosta,0,322,1286
takoj,takoj,492,323,1284
čim,čim,497,324,1282
junij,junija,443,325,1279
kateri,katere,42,326,1271
drug,drugega,27,327,1265
podatek,podatkih,129,328,1259
prvi,prva,43,329,1258
slovenski,slovenskih,52,330,1252
pojasniti,pojasnil,192,331,1251
morati,moral,47,332,1243
možnost,možnosti,197,333,1241
prek,prek,516,334,1241
njegov,njegov,60,335,1240
sezona,sezoni,120,336,1236
koronavirus,koronavirus,57,337,1231
možnost,možnost,197,338,1227
kazati,kaže,206,339,1224
kateri,katero,42,340,1224
morati,moramo,47,341,1222
uspeti,uspelo,273,342,1221
zakaj,zakaj,531,343,1221
covid,covida,130,344,1212
nekoliko,nekoliko,540,345,1197
sam,sam,123,346,1194
verjetno,verjetno,399,347,1192
zmaga,zmago,196,348,1191
nekateri,nekaterih,113,349,1189
volja,voljo,429,350,1188
ves,ves,18,351,1186
zadnji,zadnji,65,352,1181
šola,šole,153,353,1175
tekma,tekme,84,354,1174
svoj,svojega,33,355,1173
sreda,sredo,496,356,1167
območje,območju,214,357,1165
večina,večina,235,358,1160
začeti,začela,88,359,1160
ti,vam,136,360,1159
želeti,želi,89,361,1159
povedati,povedala,92,362,1156
zakon,zakona,190,363,1147
direktor,direktor,286,364,1146
pol,pol,549,365,1145
sodišče,sodišče,228,366,1141
kasno,kasneje,524,367,1140
težava,težav,142,368,1138
začeti,začel,88,369,1137
ura,ure,87,370,1133
tekma,tekmo,84,371,1133
želeti,želijo,89,372,1132
covid,covidom,130,373,1132
kateri,katerega,42,374,1129
močno,močno,552,375,1129
nekateri,nekatere,113,376,1129
raven,ravni,388,377,1128
dobiti,dobili,119,378,1122
njegov,njegovo,60,379,1120
sedaj,sedaj,578,380,1117
meter,metrov,339,381,1113
stanje,stanje,295,382,1112
njegov,njegova,60,383,1109
različen,različnih,219,384,1108
ta,ti,9,385,1105
sistem,sistem,204,386,1105
točka,točk,177,387,1104
ministrstvo,ministrstvo,152,388,1100
ura,uri,87,389,1099
okužba,okužbo,56,390,1099
velik,velik,40,391,1096
torek,torek,583,392,1096
virus,virusa,181,393,1091
skozi,skozi,590,394,1086
najmanj,najmanj,593,395,1086
pogosto,pogosto,469,396,1086
dejavnost,dejavnosti,370,397,1082
prvi,prve,43,398,1082
on,njim,10,399,1080
virus,virus,181,400,1078
stvar,stvari,398,401,1076
prihodnji,prihodnje,191,402,1075
