Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
waarom,waarom,235,229,1720
eigenlijk,eigenlijk,234,230,1717
goed,goede,46,231,1710
vandaag,vandaag,237,232,1709
daarom,daarom,238,233,1683
kunnen,kun,23,234,1676
erg,erg,217,235,1670
geven,geven,93,236,1666
oorlog,oorlog,236,237,1665
vier,vier,199,238,1658
paar,paar,240,239,1653
krijgen,krijgt,65,240,1647
werk,werk,206,241,1641
laat,later,88,242,1639
extra,extra,246,243,1616
deel,deel,219,244,1612
beetje,beetje,247,245,1610
hebben,hebt,10,246,1609
weinig,weinig,87,247,1604
bekend,bekend,205,248,1597
bedrijf,bedrijf,141,249,1592
verschillend,verschillende,248,250,1577
wanneer,wanneer,254,251,1551
aldus,aldus,256,252,1541
anders,anders,257,253,1540
krijgen,kreeg,65,254,1540
vraag,vraag,190,255,1537
vorig,vorig,144,256,1534
maand,maanden,142,257,1531
genoeg,genoeg,258,258,1530
duidelijk,duidelijk,233,259,1527
Amerikaans,amerikaanse,261,260,1525
gemeente,gemeente,203,261,1519
land,landen,89,262,1513
moeten,moest,38,263,1503
elk,elke,181,264,1498
te,ter,9,265,1498
zijn,geweest,1,266,1491
te,ten,9,267,1487
liggen,ligt,131,268,1472
vinden,vind,77,269,1464
kijken,kijken,135,270,1462
zien,ziet,58,271,1432
echter,echter,276,272,1418
soort,soort,249,273,1414
geval,geval,221,274,1414
doen,gedaan,50,275,1404
week,weken,97,276,1386
pas,pas,277,277,1386
nemen,nemen,118,278,1382
vijf,vijf,243,279,1372
vanwege,vanwege,287,280,1369
stad,stad,229,281,1366
zien,gezien,58,282,1359
Europees,europese,259,283,1359
vrouw,vrouwen,130,284,1348
hen,hen,289,285,1347
enig,enige,267,286,1343
minister,minister,265,287,1341
vanuit,vanuit,291,288,1339
manier,manier,262,289,1338
blijken,blijkt,161,290,1336
kans,kans,241,291,1315
mogen,mogen,95,292,1313
waarin,waarin,295,293,1313
goed,beste,46,294,1306
daarna,daarna,299,295,1302
werken,werken,123,296,1298
gaan,ga,31,297,1297
maand,maand,142,298,1287
probleem,probleem,168,299,1287
vorig,vorige,144,300,1284
groot,grootste,61,301,1275
geven,geeft,93,302,1273
opnieuw,opnieuw,309,303,1270
buiten,buiten,308,304,1268
bedrijf,bedrijven,141,305,1258
juist,juist,230,306,1254
naast,naast,296,307,1254
seizoen,seizoen,290,308,1245
ooit,ooit,311,309,1244
vinden,vindt,77,310,1241
nou,nou,313,311,1240
nadat,nadat,314,312,1238
ruim,ruim,288,313,1224
zijn,bent,1,314,1219
graag,graag,319,315,1216
soms,soms,321,316,1216
daarmee,daarmee,324,317,1212
open,open,322,318,1210
partij,partij,215,319,1210
namelijk,namelijk,325,320,1210
begin,begin,327,321,1208
staan,stond,66,322,1207
zien,zie,58,323,1199
meteen,meteen,330,324,1195
klein,kleine,178,325,1192
uiteindelijk,uiteindelijk,312,326,1191
probleem,problemen,168,327,1191
overheid,overheid,303,328,1182
zeer,zeer,333,329,1182
welk,welke,273,330,1179
inmiddels,inmiddels,336,331,1179
maken,maakte,49,332,1177
denken,denken,91,333,1165
jij,jij,344,334,1163
betalen,betalen,214,335,1151
komen,komende,42,336,1142
eerst,eerst,348,337,1140
volgen,volgende,129,338,1139
werken,werkt,123,339,1135
ander,ander,59,340,1124
man,mannen,101,341,1119
spelen,spelen,166,342,1116
zaak,zaken,213,343,1112
water,water,352,344,1111
hoog,hoge,115,345,1110
gebruiken,gebruiken,184,346,1106
groep,groep,266,347,1102
eind,eind,359,348,1096
zoveel,zoveel,328,349,1095
waardoor,waardoor,362,350,1095
vast,vast,285,351,1094
nieuw,nieuw,71,352,1093
daarbij,daarbij,367,353,1086
best,best,363,354,1084
mooi,mooi,193,355,1079
medium,media,346,356,1078
verwachten,verwacht,250,357,1073
drie,derde,104,358,1073
tien,tien,329,359,1070
gebruik,gebruik,371,360,1063
waarbij,waarbij,372,361,1062
lekker,lekker,343,362,1062
zodat,zodat,373,363,1061
kabinet,kabinet,365,364,1054
willen,wilde,56,365,1053
daarnaast,daarnaast,375,366,1050
regering,regering,353,367,1050
vervolgens,vervolgens,376,368,1049
club,club,305,369,1046
belangrijk,belangrijk,173,370,1045
plek,plek,260,371,1045
niks,niks,379,372,1043
worden,geworden,15,373,1040
precies,precies,364,374,1037
liggen,liggen,131,375,1029
ongeveer,ongeveer,385,376,1029
niemand,niemand,384,377,1028
men,men,383,378,1027
gas,gas,382,379,1019
druk,druk,341,380,1013
vallen,valt,176,381,1011
gebruiken,gebruikt,184,382,1011
president,president,386,383,1008
zorgen,zorgen,202,384,1005
veel,meeste,24,385,1003
boven,boven,393,386,1002
thuis,thuis,395,387,994
zetten,zetten,198,388,990
idee,idee,340,389,983
huidig,huidige,389,390,982
vrij,vrij,282,391,980
totaal,totaal,297,392,978
vertellen,vertelt,223,393,974
lang,lange,96,394,974
meerdere,meerdere,402,395,965
situatie,situatie,358,396,960
halen,halen,216,397,954
verhaal,verhaal,301,398,954
doen,deed,50,399,951
waarschijnlijk,waarschijnlijk,401,400,950
stuk,stuk,251,401,948
rijden,rijden,218,402,947
volledig,volledig,317,403,945
slechts,slechts,413,404,943
meter,meter,390,405,940
dezelfde,dezelfde,414,406,939
miljard,miljard,366,407,937
sommig,sommige,351,408,935
oud,oude,189,409,932
lang,langer,96,410,931
veel,meest,24,411,929
bovendien,bovendien,419,412,926
naam,naam,253,413,925
zowel,zowel,421,414,925
helpen,helpen,270,415,920
vol,vol,310,416,916
hard,hard,274,417,915
jong,jonge,192,418,914
dollar,dollar,400,419,914
eu,eu,424,420,911
team,team,369,421,909
beide,beide,370,422,906
zes,zes,374,423,906
bezig,bezig,423,424,905
nee,nee,428,425,902
wedstrijd,wedstrijd,292,426,897
staat,staat,334,427,897
ding,dingen,332,428,896
zitten,zat,78,429,895
hebben,gehad,10,430,895
lopen,lopen,180,431,889
direct,direct,377,432,886
reden,reden,338,433,881
betekenen,betekent,345,434,880
zaak,zaak,213,435,872
familie,familie,404,436,868
prijs,prijs,242,437,863
einde,einde,438,438,860
laten,liet,76,439,859
daardoor,daardoor,442,440,855
zien,zag,58,441,854
leuk,leuk,300,442,854
kilometer,kilometer,403,443,851
kant,kant,398,444,849
zichzelf,zichzelf,446,445,849
sociaal,sociale,378,446,847
dood,dood,315,447,846
rest,rest,430,448,844
basis,basis,452,449,840
minuut,minuten,349,450,830
elk,elk,181,451,825
plan,plan,279,452,824
daarvoor,daarvoor,464,453,824
gelukkig,gelukkig,435,454,817
brengen,brengen,196,455,817
mooi,mooie,193,456,815
gelijk,gelijk,422,457,813
ministerie,ministerie,443,458,812
ouder,ouders,455,459,811
hand,hand,245,460,810
hoog,hoog,115,461,810
houden,houdt,102,462,809
overigens,overigens,469,463,808
helft,helft,468,464,807
denken,denkt,91,465,804
blijken,bleek,161,466,803
moeilijk,moeilijk,347,467,796
inderdaad,inderdaad,475,468,796
kunnen,konden,23,469,796
kost,kosten,415,470,795
kopen,kopen,302,471,793
energie,energie,478,472,793
punt,punten,283,473,791
boer,boeren,388,474,790
ander,anderen,59,475,789
richting,richting,460,476,787
partij,partijen,215,477,784
zomer,zomer,457,478,784
wk,wk,481,479,784
ieder,ieder,284,480,784
melden,meldt,244,481,783
hoofd,hoofd,465,482,781
hetzelfde,hetzelfde,488,483,778
horen,horen,208,484,777
u,uw,114,485,773
prijs,prijzen,242,486,773
ruimte,ruimte,463,487,772
toekomst,toekomst,491,488,772
wachten,wachten,356,489,766
beginnen,begint,153,490,764
lopen,loopt,180,491,763
actie,actie,394,492,763
informatie,informatie,498,493,762
rol,rol,467,494,762
komen,kwamen,42,495,760
enkel,enkel,151,496,759
ondanks,ondanks,501,497,758
voorkomen,voorkomen,420,498,758
hoeveel,hoeveel,502,499,755
inflatie,inflatie,504,500,755
Duits,duitse,493,501,755
ziekenhuis,ziekenhuis,408,502,753
nieuws,nieuws,508,503,750
blij,blij,496,504,749
één,eerst,51,505,742
gebeuren,gebeurt,191,506,740
politiek,politiek,268,507,739
echt,echte,98,508,739
moeder,moeder,461,509,739
bank,bank,354,510,738
hoog,hoger,115,511,738
periode,periode,471,512,736
ervoor,ervoor,513,513,736
langs,langs,514,514,735
hand,handen,245,515,734
eten,eten,426,516,728
vader,vader,506,517,726
klaar,klaar,512,518,726
kind,kind,132,519,723
politiek,politieke,268,520,718
gelden,geldt,399,521,713
woning,woning,331,522,710
weekend,weekend,507,523,709
nemen,genomen,118,524,709
markt,markt,437,525,708
momenteel,momenteel,525,526,708
flink,flink,391,527,704
klein,klein,178,528,703
weten,wist,79,529,702
ruten,rutte,531,530,700
bestaan,bestaat,252,531,699
krijgen,krijg,65,532,699
graad,graden,500,533,698
licht,licht,392,534,698
mogen,mocht,95,535,691
nummer,nummer,440,536,690
helaas,helaas,541,537,689
vraag,vragen,190,538,688
kort,kort,278,539,683
hoewel,hoewel,545,540,682
straks,straks,549,541,679
winnen,won,197,542,679
veel,vele,24,543,677
jullie,jullie,551,544,676
organisatie,organisatie,411,545,675
Brits,britse,552,546,675
Belgisch,belgische,554,547,673
ploeg,ploeg,495,548,673
maatregel,maatregelen,445,549,673
premier,premier,544,550,673
slachtoffer,slachtoffer,323,551,672
normaal,normaal,416,552,671
ver,ver,110,553,671
doen,doe,50,554,670
woordvoerder,woordvoerder,553,555,665
zin,zin,517,556,665
wonen,wonen,326,557,665
doel,doel,458,558,664
heen,heen,561,559,664
belangrijk,belangrijke,173,560,663
enorm,enorm,318,561,663
sterk,sterk,280,562,663
vinden,gevonden,77,563,663
zeggen,gezegd,54,564,662
gesprek,gesprek,410,565,660
twitter,twitter,557,566,660
kijken,kijk,135,567,659
gedrag,gedrag,563,568,658
school,school,405,569,658
gebied,gebied,431,570,648
slecht,slecht,339,571,647
geven,gaf,93,572,647
hulp,hulp,571,573,644
jong,jongeren,192,574,644
rekening,rekening,540,575,644
denken,dacht,91,576,643
kiezen,kiezen,272,577,643
persoon,persoon,360,578,642
vroeg,vroeger,361,579,642
beginnen,beginnen,153,580,641
dankzij,dankzij,577,581,641
nemen,neemt,118,582,639
hoeven,hoeft,298,583,639
recht,recht,433,584,637
komen,gekomen,42,585,636
aandacht,aandacht,580,586,636
leiden,leiden,264,587,635
burgemeester,burgemeester,530,588,634
vinden,vond,77,589,632
betreffen,betreft,497,590,632
grond,grond,555,591,631
ergens,ergens,584,592,630
klinken,klinkt,453,593,629
inwoner,inwoners,539,594,628
hoop,hoop,581,595,627
programma,programma,585,596,627
zorg,zorg,417,597,627
stoppen,stoppen,350,598,626
vaak,vaker,140,599,626
voordat,voordat,589,600,625
gevolg,gevolgen,316,601,625
waarmee,waarmee,590,602,624
stellen,stelt,185,603,624
stellen,stellen,185,604,622
online,online,595,605,620
d,d,596,606,620
alsof,alsof,597,607,616
beeld,beeld,335,608,615
finale,finale,484,609,615
terecht,terecht,576,610,614
elektrisch,elektrische,485,611,614
erop,erop,602,612,613
boek,boek,425,613,612
spelen,speelt,166,614,611
waarop,waarop,604,615,611
internationaal,internationale,432,616,609
leger,leger,592,617,609
krijgen,gekregen,65,618,609
vallen,vallen,176,619,608
de,der,0,620,607
gebeuren,gebeuren,191,621,607
gratis,gratis,610,622,607
beginnen,begon,153,623,607
prima,prima,612,624,604
kort,korte,278,625,603
lokaal,lokale,473,626,602
vs,vs,614,627,602
e,e,616,628,602
poetin,poetin,613,629,602
zwaar,zwaar,293,630,599
gevolg,gevolg,316,631,598
financieel,financiële,436,632,598
the,the,622,633,598
kosten,kost,407,634,598
straat,straat,510,635,596
daarvan,daarvan,624,636,595
verschil,verschil,499,637,595
winnen,winnen,197,638,593
foto,foto,627,639,592
zorgen,zorgt,202,640,591
liever,liever,632,641,590
ervan,ervan,634,642,588
cijfer,cijfers,569,643,585
leggen,legt,307,644,585
oog,ogen,406,645,584
oplossing,oplossing,486,646,584
rechter,rechter,520,647,583
geven,gegeven,93,648,582
klant,klanten,480,649,581
start,start,617,650,579
plan,plannen,279,651,578
publiek,publiek,472,652,577
brand,brand,578,653,577
brengen,gebracht,196,654,576
zoeken,zoeken,342,655,576
ander,anders,59,656,576
woord,woord,355,657,575
tegenwoordig,tegenwoordig,646,658,575
voldoende,voldoende,648,659,574
schrijven,schrijft,239,660,574
ieder,iedere,284,661,574
wind,wind,642,662,573
vluchteling,vluchtelingen,599,663,572
bepalen,bepaalde,281,664,572
zetten,gezet,198,665,572
bijzonder,bijzonder,412,666,571
