Morph-base,Morph-inflected
出店,出店
玄関,玄関
サイト,サイト
利く,利か
暑い,暑
走る,走り
ひえ,ひえ
逆らえる,逆らえ
報う,報わ
当てる,当てる
勇敢,勇敢
炉,炉
書く,書き
甘やかす,甘やかし
例外,例外
復しゅう,復しゅう
自我,自我
欠ける,欠け
順,順
汚れ,汚れ
すさまじい,すさまじい
反則,反則
問う,問わ
つかれる,つかれ
賞,賞
寝かせる,寝かせ
多め,多め
出張,出張
ソース,ソース
いってき,いってき
見通し,見通し
手遅れ,手遅れ
ハッハッハ,ハッハッハ
ピッタリ,ピッタリ
おじいさん,おじいさん
移住,移住
死人,死人
わな,わな
好,好
命脈,命脈
若,若
大騒ぎ,大騒ぎ
正しく,正しく
太い,太
サボる,サボっ
加工,加工
共感,共感
夏服,夏服
たげる,たげる
渡る,渡っ
飛行,飛行
キン,キン
悪口,悪口
おつもり,おつもり
やむ,やま
手入れ,手入れ
知らせる,知らせ
侮辱,侮辱
童子,童子
ボタン,ボタン
追跡,追跡
友情,友情
改善,改善
丼,丼
だれ,だれ
構え,構え
政,政
守,守
奏でる,奏で
屋根,屋根
始祖,始祖
洋服,洋服
実習,実習
穂,穂
カニ,カニ
ねこ,ねこ
憎しみ,憎しみ
無惨,無惨
レッスン,レッスン
そそる,そそれ
神官,神官
プルートー,プルートー
事業,事業
総長,総長
模擬,模擬
苺,苺
クリーネ,クリーネ
功績,功績
神事,神事
リーベ,リーベ
リンク,リンク
当分,当分
誠に,誠に
暴れ,暴れ
押しつける,押しつけ
要る,要ら
目立つ,目立っ
好都合,好都合
米,米
統べる,統べる
シンプル,シンプル
目玉,目玉
戦う,戦お
シャワー,シャワー
恋心,恋心
早,早
外国,外国
ほん,ほん
焼く,焼か
迷う,迷う
とり,とり
まし,まし
双方,双方
体重,体重
予知,予知
嫌がらせ,嫌がらせ
決意,決意
さらば,さらば
切る,切ら
逃れる,逃れ
到達,到達
総,総
負う,負っ
経る,経
ミスター,ミスター
悪者,悪者
必殺,必殺
飛,飛
もうちょい,もうちょい
渡る,渡る
共通,共通
ここだ,ここだ
執行,執行
ぼく,ぼく
勧める,勧め
強大,強大
刻む,刻む
探す,探そ
退却,退却
近づく,近づき
送る,送ら
ショー,ショー
回る,回り
振る,振る
受け止める,受け止め
起こす,起こさ
たまる,たまっ
現役,現役
細い,細い
プリント,プリント
いかに,いかに
浮気,浮気
枝,枝
耐久,耐久
くむ,くん
お宝,お宝
夢見る,夢見
利く,利く
見習い,見習い
スケジュール,スケジュール
はう,はわ
素敵,素敵
メモリー,メモリー
まとまる,まとまっ
撮る,撮ろ
本命,本命
固まる,固まっ
ナンパ,ナンパ
脚本,脚本
済まない,済まない
光る,光っ
練,練
機材,機材
引ける,引け
何かしら,何かしら
降りる,降りる
たたく,たたい
回す,回す
遂行,遂行
疲労,疲労
感性,感性
警告,警告
引き取る,引き取り
特技,特技
業者,業者
入ろう,入ろう
本性,本性
チャレンジ,チャレンジ
直後,直後
財布,財布
飲む,飲も
聞く,聞こ
飾り,飾り
水族館,水族館
作り方,作り方
麺,麺
カッ,カッ
外れ,外れ
仮装,仮装
ちょろい,ちょろい
通う,通う
特,特
卑怯,卑怯
救出,救出
遠征,遠征
悪化,悪化
しゃあない,しゃあない
頑丈,頑丈
倒す,倒せ
眠る,眠る
かの,かの
洗脳,洗脳
伸ばす,伸ばす
迫力,迫力
バランス,バランス
偵察,偵察
年寄り,年寄り
外出,外出
エアコン,エアコン
克服,克服
く,か
効く,効き
やかましい,やかましい
仕込み,仕込み
たい,たけれ
受かる,受かっ
直す,直す
持ち込む,持ち込ん
退散,退散
渡し,渡し
撃つ,撃ち
シャン,シャン
劇場,劇場
高等,高等
ぶっ殺す,ぶっ殺し
追う,追い
忙しい,忙し
縄張り,縄張り
仕える,仕え
手続き,手続き
大いなる,大いなる
式典,式典
進める,進める
メイク,メイク
入れ,入れ
焼ける,焼け
従者,従者
度胸,度胸
たら,たら
催眠,催眠
若造,若造
板,板
転写,転写
無能,無能
聖なる,聖なる
さらう,さらわ
業界,業界
足す,足し
談,談
上達,上達
絵本,絵本
父ちゃん,父ちゃん
カ月,カ月
タコ,タコ
ブス,ブス
殴る,殴る
煽る,煽
パンケーキ,パンケーキ
追放,追放
ご用,ご用
交わす,交わし
庭園,庭園
遺伝子,遺伝子
あたい,あたい
リング,リング
ケチ,ケチ
魔神,魔神
フラグ,フラグ
込む,込ん
椰子,椰子
ゴルフ,ゴルフ
戦艦,戦艦
オイラ,オイラ
ＤＪ,ＤＪ
ボア,ボア
揺る,揺る
アピール,アピール
冷蔵庫,冷蔵庫
張る,張る
手応え,手応え
革,革
謝る,謝れ
深刻,深刻
マナー,マナー
異変,異変
整える,整え
過剰,過剰
赤ん坊,赤ん坊
明け,明け
焼き肉,焼き肉
お祈り,お祈り
恨む,恨ん
思い出す,思い出さ
差し入れ,差し入れ
背景,背景
化粧,化粧
知る,知れ
いい加減,いい加減
赤子,赤子
悲しむ,悲しむ
少ない,少なく
みっともない,みっともない
誠実,誠実
渡せる,渡せ
すべ,すべ
先行,先行
不敬,不敬
子息,子息
救える,救える
もらえる,もらえれ
生涯,生涯
呼び捨て,呼び捨て
ひと月,ひと月
敵意,敵意
つくる,つくり
楽しむ,楽しも
汚す,汚し
がっかり,がっかり
祖父,祖父
弾く,弾く
きん,きん
爺,爺
散々,散々
代償,代償
畜生,畜生
めちゃめちゃ,めちゃめちゃ
やすい,やす
体温,体温
キャンパス,キャンパス
同調,同調
ごまかせる,ごまかせ
追いつく,追いつい
起こる,起こら
響く,響く
切れる,切れる
貼る,貼っ
大人気,大人気
暮れる,暮れ
潰し,潰し
正当,正当
ヘル,ヘル
網,網
向き,向き
紅葉,紅葉
たより,たより
帰る,帰ん
涼しい,涼しい
テーブル,テーブル
言える,言えよ
す,し
待たす,待たせ
正々堂々,正々堂々
かわく,かわい
争う,争う
構える,構え
おきる,おき
機体,機体
味わう,味わっ
ありがたい,ありがたく
結ぶ,結ば
説,説
くるむ,くるん
利く,利い
逃がす,逃がし
寄り道,寄り道
ルーム,ルーム
ほっぺ,ほっぺ
マッサージ,マッサージ
キリ,キリ
着く,着き
ふう,ふわ
からかう,からかっ
部署,部署
貢献,貢献
あめ,あめ
ハロ,ハロ
ほえる,ほえ
社員,社員
グッズ,グッズ
主演,主演
頼れる,頼れる
自主,自主
つきあう,つきあい
戦略,戦略
引っ張る,引っ張る
拝見,拝見
見込み,見込み
カツ,カツ
視,視
他国,他国
暗闇,暗闇
済む,済み
発想,発想
ワナ,ワナ
逃亡,逃亡
封鎖,封鎖
泡,泡
信念,信念
まれ,まれ
レストラン,レストラン
カモ,カモ
カエル,カエル
収める,収め
下がる,下がり
ついつい,ついつい
丁,丁
流れる,流れる
太刀,太刀
首席,首席
無料,無料
代える,代え
波動,波動
池,池
切り札,切り札
いっちょ,いっちょ
わきまえる,わきまえ
ことに,ことに
走る,走ら
違う,違わ
水路,水路
おおい,おおい
冷やす,冷やし
救急,救急
軍団,軍団
受け取る,受け取る
絡む,絡ま
準決勝,準決勝
仕返し,仕返し
差別,差別
歌詞,歌詞
繊細,繊細
披露,披露
受付,受付
操,操
ポーズ,ポーズ
選挙,選挙
巻く,巻き
耐性,耐性
わたし,わたし
乙,乙
権限,権限
鑑賞,鑑賞
ちび,ちび
要塞,要塞
住む,住み
代理,代理
昨晩,昨晩
鴉,鴉
詐欺,詐欺
眷属,眷属
越す,越し
掘る,掘っ
トラ,トラ
疑い,疑い
ぜいたく,ぜいたく
人助け,人助け
引き続き,引き続き
錬る,錬
見当たる,見当たら
もち,もち
独占,独占
無意味,無意味
現金,現金
署,署
挑発,挑発
交互,交互
小物,小物
応じる,応じ
研修,研修
うさぎ,うさぎ
行き先,行き先
番目,番目
構う,構い
意,意
総合,総合
狩る,狩っ
支持,支持
砦,砦
中級,中級
忍者,忍者
ゆうべ,ゆうべ
クン,クン
賭ける,賭け
がらん,がらん
あがる,あがっ
茸,茸
洗礼,洗礼
取材,取材
クラブ,クラブ
稜,稜
剣道,剣道
監察,監察
ヤマ,ヤマ
鮨,鮨
寿司,寿司
おやっ,おやっ
専攻,専攻
大声,大声
帰還,帰還
畳,畳
ウジ,ウジ
ナイト,ナイト
アパート,アパート
引っ越す,引っ越し
お気に入り,お気に入り
メートル,メートル
暴れる,暴れる
裏切る,裏切る
炒める,炒め
見失う,見失っ
離せる,離せ
尽きる,尽きる
察す,察し
探る,探っ
通じる,通じる
各地,各地
お家,お家
動機,動機
ボーッ,ボーッ
訪れる,訪れる
来れる,来れ
似合う,似合い
べし,べく
閉める,閉め
暁,暁
口出し,口出し
組み合わせ,組み合わせ
開ける,開けろ
気絶,気絶
ひも,ひも
何一つ,何一つ
待てる,待てよ
使う,使お
わかる,わかれ
かかる,かかれ
公式,公式
誓う,誓う
接続,接続
腹立つ,腹立つ
通す,通さ
史上,史上
袖,袖
える,える
われ,われ
頂く,頂い
離す,離す
修復,修復
戻り,戻り
有,有
関わり,関わり
続く,続か
交流,交流
名字,名字
心霊,心霊
おじゃま,おじゃま
学問,学問
頼る,頼ら
渡す,渡せ
見守る,見守っ
ける,ける
慌てる,慌てる
実感,実感
伺い,伺い
繰り返す,繰り返す
災厄,災厄
生み出す,生み出し
缶,缶
見れる,見れる
入れる,入れよ
空き,空き
濃い,濃い
欠席,欠席
社交,社交
尊重,尊重
ほっと,ほっと
クラスメート,クラスメート
しつける,しつけ
襲来,襲来
御身,御身
スコア,スコア
アシ,アシ
ソロ,ソロ
無傷,無傷
おんなじ,おんなじ
デザイン,デザイン
頂く,頂く
敬意,敬意
かわいらしい,かわいらしい
補給,補給
お先に,お先に
提出,提出
入社,入社
お送り,お送り
御用,御用
今晩,今晩
泣き,泣き
鋭い,鋭い
何やら,何やら
構築,構築
配置,配置
拡散,拡散
撮る,撮ら
真理,真理
菜,菜
会員,会員
クリーム,クリーム
萌える,萌え
長生き,長生き
決定的,決定的
記事,記事
渇く,渇い
工事,工事
選抜,選抜
減る,減り
助ける,助けよ
抹殺,抹殺
素性,素性
喪失,喪失
連携,連携
製品,製品
皮肉,皮肉
払う,払い
飲める,飲める
休息,休息
明確,明確
知り合う,知り合っ
泥,泥
ゴリラ,ゴリラ
やわらかい,やわらかい
飴,飴
売り上げ,売り上げ
狂う,狂う
アクセス,アクセス
飼う,飼い
振る,振り
しょうゆ,しょうゆ
腕前,腕前
抑える,抑える
出力,出力
オッサン,オッサン
ぜひとも,ぜひとも
滅びる,滅びる
宿屋,宿屋
おごり,おごり
各自,各自
ある,ありゃ
ヒヒヒ,ヒヒヒ
大気,大気
漏れる,漏れ
坊主,坊主
順位,順位
作法,作法
遺言,遺言
代々,代々
交際,交際
落ち込む,落ち込む
す,そ
ボーカル,ボーカル
芸能人,芸能人
慰める,慰め
見つかる,見つかり
楽章,楽章
抱きしめる,抱きしめ
だらける,だらけ
有名人,有名人
集まり,集まり
国内,国内
食う,食お
生む,生む
句,句
釘,釘
殺害,殺害
書庫,書庫
測定,測定
存分,存分
やらす,やらさ
放せる,放せ
ミル,ミル
夫人,夫人
並べる,並べ
愛玩,愛玩
登る,登っ
まさしく,まさしく
気温,気温
無罪,無罪
テロ,テロ
約,約
笑わせる,笑わせる
伺う,伺い
ところが,ところが
行い,行い
急所,急所
願,願
漬け,漬け
育ち,育ち
探す,探せ
ハチミツ,ハチミツ
急ぐ,急ご
魅了,魅了
券,券
ごとし,ごとく
独りぼっち,独りぼっち
捕まる,捕まる
差す,差し
偽者,偽者
硯,硯
もたらす,もたらし
死罪,死罪
棄権,棄権
公平,公平
外す,外さ
働く,働け
癒す,癒し
たとえば,たとえば
美しい,美し
逸,逸
鳴る,鳴
譜面,譜面
精度,精度
パフォーマンス,パフォーマンス
だっこ,だっこ
園長,園長
負荷,負荷
刑事,刑事
クリ,クリ
死霊,死霊
さっする,さっす
フレンチ,フレンチ
インターハイ,インターハイ
かう,かえ
オルグ,オルグ
排斥,排斥
場面,場面
く,け
極端,極端
文,文
目立つ,目立た
響き,響き
つぶす,つぶし
ぎょ,ぎょ
ぬるい,ぬるい
概念,概念
理性,理性
ラジオ,ラジオ
存じる,存じ
たたく,たたき
えー,えー
思いつく,思いつか
かなう,かない
ラス,ラス
居る,居
及ぶ,及ぶ
離れ,離れ
笑う,笑い
道中,道中
到底,到底
あがる,あがり
動く,動け
盛る,盛っ
図星,図星
塗る,塗っ
長女,長女
苦しい,苦しく
ささやか,ささやか
燃やす,燃やす
現地,現地
忠誠,忠誠
務める,務める
振り回す,振り回さ
刺す,刺す
用いる,用い
値する,値する
妥当,妥当
紋章,紋章
尸,尸
極,極
仕組み,仕組み
加勢,加勢
目立つ,目立ち
舞踏,舞踏
疲れる,疲れる
雛,雛
防げる,防げ
報い,報い
更,更
強,強
知能,知能
楽しめる,楽しめる
唱える,唱え
巡り,巡り
解く,解か
量産,量産
着せる,着せ
謙遜,謙遜
抱く,抱く
ツイン,ツイン
ぶつかる,ぶつかり
苦しむ,苦しん
互い,互い
固定,固定
いじる,いじっ
いえる,いえ
残酷,残酷
互角,互角
警報,警報
キャリア,キャリア
進行,進行
パーツ,パーツ
足る,足り
製,製
充電,充電
離す,離せ
イザ,イザ
投げる,投げる
そのうえ,そのうえ
分解,分解
写る,写っ
歌姫,歌姫
こなす,こなす
配る,配る
どく,どき
エプロン,エプロン
締め切り,締め切り
ふーん,ふーん
就職,就職
下さる,下さい
しゃく,しゃく
海辺,海辺
スタッフ,スタッフ
住民,住民
初対面,初対面
スーツ,スーツ
引ける,引ける
分野,分野
ゴロゴロ,ゴロゴロ
事項,事項
たつ,たつ
かかる,かから
成し遂げる,成し遂げ
開示,開示
新聞,新聞
秘める,秘め
無知,無知
輸送,輸送
悔しい,悔し
解釈,解釈
話し合う,話し合う
構う,構う
譲る,譲る
しょっちゅう,しょっちゅう
間違える,間違える
そらす,そらし
ジャー,ジャー
用紙,用紙
休める,休め
味見,味見
紳士,紳士
協会,協会
支払い,支払い
終わる,終われ
たまらない,たまらない
出口,出口
実在,実在
一斉,一斉
不自然,不自然
地区,地区
思いっきり,思いっきり
下手くそ,下手くそ
さす,さし
かさ,かさ
異性,異性
取り寄せる,取り寄せ
校内,校内
吐く,吐く
ファッション,ファッション
ござる,ござら
満点,満点
ポスター,ポスター
だす,だす
滑る,滑っ
独自,独自
ｔｈｅ,ｔｈｅ
見上げる,見上げる
クモ,クモ
初期,初期
呪詛,呪詛
セーフ,セーフ
診る,診
若い,若き
挽回,挽回
教徒,教徒
保つ,保つ
介入,介入
に対し,に対し
領内,領内
ロク,ロク
における,における
王城,王城
前衛,前衛
恐縮,恐縮
読書,読書
勢,勢
ござる,ござっ
ござる,ござろ
地位,地位
国教,国教
道理,道理
反乱,反乱
毎晩,毎晩
ハロウィン,ハロウィン
来,来
犯行,犯行
放つ,放て
宮廷,宮廷
財産,財産
耐える,耐える
標的,標的
邸,邸
隔離,隔離
動作,動作
テーマ,テーマ
追いつく,追いつく
彼方,彼方
警護,警護
物質,物質
ストロベリー,ストロベリー
笠,笠
報,報
最善,最善
修繕,修繕
泊まる,泊まっ
災難,災難
デバイス,デバイス
審判,審判
異端,異端
贅沢,贅沢
懲りる,懲り
つかまる,つかまっ
薔薇,薔薇
混血,混血
屋台,屋台
役に立つ,役に立ち
兄妹,兄妹
触る,触り
初恋,初恋
皇女,皇女
格納庫,格納庫
操縦,操縦
設計,設計
爵位,爵位
過酷,過酷
吹き飛ばす,吹き飛ばし
合体,合体
検証,検証
応募,応募
盟約,盟約
忍法,忍法
植える,植え
井,井
皆さま,皆さま
古,古
お供え,お供え
歌仙,歌仙
金庫,金庫
キャプテン,キャプテン
ゆき,ゆき
艦隊,艦隊
水星,水星
算,算
萌,萌
製作所,製作所
斜面,斜面
守り神,守り神
綺羅,綺羅
愚物,愚物
過,過
拡大,拡大
聞かす,聞かさ
押し入れ,押し入れ
外せる,外せ
浮く,浮い
飛ばす,飛ばす
カップ,カップ
でかい,でかく
実践,実践
粗末,粗末
誘い,誘い
一環,一環
暮らせる,暮らせる
さる,さり
大して,大して
好き嫌い,好き嫌い
見送り,見送り
持つ,持て
実質,実質
動き出す,動き出し
とことん,とことん
ちゃあ,ちゃあ
破る,破ら
喜ぶ,喜び
傲慢,傲慢
組み,組み
シリーズ,シリーズ
侍女,侍女
恐ろしい,恐ろし
通達,通達
ラ,ラ
内密,内密
気がつく,気がつい
令,令
輪,輪
阻止,阻止
圏,圏
ヒント,ヒント
取り込む,取り込ん
不快,不快
反撃,反撃
潜む,潜ん
マスク,マスク
一帯,一帯
もろ,もろ
護る,護り
拒絶,拒絶
向ける,向ける
ぬう,ぬお
光線,光線
食らう,食らう
じゃが,じゃが
無い,無い
汚い,汚
見極める,見極める
苦,苦
激しい,激しく
仕組む,仕組ん
あま,あま
刻む,刻ま
思い込む,思い込ん
幻覚,幻覚
自爆,自爆
ねる,ねる
やや,やや
ほっとく,ほっとけ
やってくる,やってくる
キミ,キミ
すね,すね
聴く,聴き
凶,凶
輝く,輝い
強者,強者
導く,導く
失望,失望
近,近
限る,限っ
女帝,女帝
振る,振ら
励ます,励まし
のむ,のま
呼び出す,呼び出さ
つくる,つくら
寝る,寝ろ
痩せる,痩せ
溺れる,溺れ
退学,退学
妥協,妥協
正常,正常
ごまかす,ごまかし
歩く,歩き
歩き,歩き
気持ちよい,気持ちよく
手分け,手分け
バッテリー,バッテリー
青年,青年
頼る,頼り
仕掛ける,仕掛ける
迷路,迷路
長年,長年
継続,継続
代わる,代わり
非力,非力
おもい,おもし
遊戯,遊戯
豊富,豊富
凝る,凝っ
段ボール,段ボール
熱る,熱っ
からかう,からかわ
及ぶ,及ん
信じる,信じろ
降る,降る
おすすめ,おすすめ
前向き,前向き
決まる,決まれ
スタイル,スタイル
地道,地道
以後,以後
砂漠,砂漠
賢明,賢明
プライベート,プライベート
並,並
情熱,情熱
不可欠,不可欠
清楚,清楚
かりる,かり
ホット,ホット
大戦,大戦
じきじき,じきじき
工作,工作
食い物,食い物
単位,単位
工具,工具
翌日,翌日
スペシャル,スペシャル
コンタクト,コンタクト
寝ぼける,寝ぼけ
御免,御免
下校,下校
私服,私服
ゆる,ゆっ
飼う,飼う
週末,週末
黄色い,黄色い
当,当
厳重,厳重
下ろす,下ろし
引っ越し,引っ越し
滅ぼす,滅ぼさ
励む,励ん
拭く,拭く
充分,充分
節,節
硬貨,硬貨
まひ,まひ
まっとう,まっとう
ぽい,ぽ
眠り,眠り
進出,進出
扱える,扱える
いやがる,いやがっ
息抜き,息抜き
春秋,春秋
入り込む,入り込ん
へいへい,へいへい
宮,宮
頑張れる,頑張れる
泥沼,泥沼
誤る,誤っ
ときめき,ときめき
マジック,マジック
かえって,かえって
中庭,中庭
無難,無難
更新,更新
タワー,タワー
互いに,互いに
勝敗,勝敗
いと,いと
極めて,極めて
振り,振り
とる,とれ
作曲,作曲
溢れる,溢れ
万全,万全
留学,留学
しん,しん
朝っぱら,朝っぱら
生産,生産
感知,感知
もぉ,もぉ
判定,判定
祓う,祓う
異なる,異なる
分身,分身
果たせる,果たせ
これら,これら
取り込む,取り込ま
苦しむ,苦しむ
まみれ,まみれ
不気味,不気味
高度,高度
突入,突入
言語,言語
こなす,こなし
敵襲,敵襲
ヘラヘラ,ヘラヘラ
解く,解き
さよう,さよう
水晶,水晶
次々,次々
おせっかい,おせっかい
不細工,不細工
日記,日記
代物,代物
ただ今,ただ今
ちまう,ちまい
よす,よし
殺し合い,殺し合い
千歳,千歳
滑稽,滑稽
焼ける,焼ける
なぞ,なぞ
もみ,もみ
オーク,オーク
よこす,よこし
目線,目線
子犬,子犬
華やか,華やか
証言,証言
身勝手,身勝手
たれる,たれ
気安い,気安く
広場,広場
破る,破る
してやる,してやっ
予告,予告
わっぱ,わっぱ
適任,適任
獲得,獲得
漆黒,漆黒
ランキング,ランキング
称号,称号
賭ける,賭ける
スキンシップ,スキンシップ
いち,いち
ヘタ,ヘタ
卑劣,卑劣
堅い,堅い
中等,中等
吹く,吹い
明ける,明け
狂う,狂っ
琥珀,琥珀
交易,交易
造る,造っ
こだわり,こだわり
きる,きる
いふ,いひ
ちっちゃい,ちっちゃい
占う,占っ
ライト,ライト
同族,同族
バナナ,バナナ
花壇,花壇
神託,神託
笑える,笑える
陰陽,陰陽
カゲ,カゲ
移す,移し
たり,たら
立花,立花
聴取,聴取
ファミリー,ファミリー
がんばる,がんばっ
シフォン,シフォン
引き分け,引き分け
手術,手術
オン,オン
フリート,フリート
警部,警部
末えい,末えい
ジュー,ジュー
なァ,なァ
アンズ,アンズ
ギフト,ギフト
氏子,氏子
投手,投手
題,題
吸血,吸血
薬研,薬研
セル,セル
上げる,上げろ
隙間,隙間
頂点,頂点
申す,申す
却下,却下
非道,非道
由来,由来
メモ,メモ
是非,是非
猶予,猶予
屈辱,屈辱
ごまかす,ごまかさ
働く,働か
とく,ときゃ
居酒屋,居酒屋
絞める,絞め
送信,送信
らっしゃる,らっしゃる
くだ,くだ
様子見,様子見
つながる,つながら
職場,職場
婿,婿
恨む,恨む
お初,お初
衝動,衝動
辞退,辞退
確かめる,確かめる
目覚める,目覚める
運ぶ,運び
呼べる,呼べ
裁縫,裁縫
失敬,失敬
知らず,知らず
譲れる,譲れ
天地,天地
僕たち,僕たち
後日,後日
伝令,伝令
おふくろ,おふくろ
我が身,我が身
トドメ,トドメ
ハマる,ハマっ
配,配
かせる,かせ
謁見,謁見
特例,特例
気力,気力
集,集
短期間,短期間
叩く,叩き
痕跡,痕跡
態勢,態勢
初耳,初耳
余地,余地
砕ける,砕け
仕留める,仕留め
入,入
細胞,細胞
解ける,解ける
解説,解説
足取り,足取り
いわく,いわく
脱ぐ,脱ぎ
同志,同志
載る,載っ
自業自得,自業自得
友好,友好
つれる,つれ
引っ張る,引っ張ら
チキン,チキン
尋常,尋常
解く,解い
飛び込む,飛び込ん
マーカー,マーカー
削る,削っ
ワ,ワ
修学旅行,修学旅行
デッキ,デッキ
寄せる,寄せ
帰国,帰国
フェーズ,フェーズ
ごまかす,ごまかす
ヒット,ヒット
抱く,抱か
描ける,描け
広い,広
時には,時には
浅い,浅い
盗む,盗ま
つり,つり
全裸,全裸
要望,要望
購買,購買
出る,出れ
日頃,日頃
分の,分の
まくる,まくり
いじめる,いじめる
だす,だそ
平均,平均
おのおの,おのおの
歴代,歴代
面目,面目
物体,物体
取り返す,取り返し
最低限,最低限
すると,すると
手はず,手はず
武装,武装
フード,フード
通る,通り
とく,とか
晴れ,晴れ
滅ぶ,滅ん
故,故
大いに,大いに
うーん,うーん
出席,出席
うまる,うまっ
ビーム,ビーム
ニヤニヤ,ニヤニヤ
面接,面接
配属,配属
ばっちい,ばっち
露天風呂,露天風呂
無責任,無責任
太もも,太もも
離脱,離脱
構う,構っ
手洗い,手洗い
メンタル,メンタル
臭,臭
等,等
費用,費用
およそ,およそ
ホーム,ホーム
にあたって,にあたって
抱く,抱き
旅館,旅館
もめ事,もめ事
キレ,キレ
了承,了承
悪意,悪意
一家,一家
裏切り,裏切り
怪しむ,怪しま
救援,救援
過激,過激
帰宅,帰宅
やすい,やすかっ
呼び名,呼び名
人材,人材
草原,草原
寝室,寝室
子守,子守
発射,発射
鳴る,鳴る
没収,没収
収入,収入
勝,勝
集まる,集まり
ズレる,ズレ
武士,武士
おでこ,おでこ
出くわす,出くわし
ためる,ため
禁断,禁断
倒れる,倒れる
比べる,比べる
稼ぐ,稼ぎ
むちゃくちゃ,むちゃくちゃ
稼げる,稼げ
地震,地震
風景,風景
重大,重大
ガラス,ガラス
まぶしい,まぶしい
産む,産み
横暴,横暴
投稿,投稿
失態,失態
柵,柵
絡む,絡む
核,核
撃つ,撃て
かいな,かいな
うっする,うっす
おとなしい,おとなしい
ついでに,ついでに
尊い,尊い
開放,開放
居心地,居心地
うすい,うす
メンツ,メンツ
入場,入場
攻める,攻める
挑む,挑ん
トラップ,トラップ
助っ人,助っ人
悪気,悪気
葉っぱ,葉っぱ
端,端
座る,座ら
低い,低く
クロ,クロ
カボチャ,カボチャ
稼げる,稼げる
突き,突き
反転,反転
礼拝,礼拝
選ぶ,選び
追う,追え
恥じる,恥じ
休む,休め
バンバン,バンバン
臆病,臆病
引き金,引き金
出撃,出撃
僅か,僅か
応用,応用
偽装,偽装
巡る,巡っ
異国,異国
祖,祖
制度,制度
伏せる,伏せ
うるさい,うるさく
原作,原作
安らぎ,安らぎ
法師,法師
奥義,奥義
極楽,極楽
回転,回転
破れる,破れ
街なか,街なか
火種,火種
突っ込む,突っ込む
満喫,満喫
沈む,沈む
抱える,抱える
至る,至ら
輝,輝
バリバリ,バリバリ
リスト,リスト
上出来,上出来
隠れ家,隠れ家
帰り道,帰り道
しきたり,しきたり
両者,両者
資産,資産
狙う,狙え
とらわれる,とらわれ
造兵,造兵
検知,検知
みせる,みせろ
合コン,合コン
のぞく,のぞき
惚れる,惚れ
誌,誌
自重,自重
煉獄,煉獄
人種,人種
引け,引け
比べ,比べ
振る舞う,振る舞っ
隠る,隠
牧師,牧師
燃料,燃料
いえる,いえる
檻,檻
城壁,城壁
譲渡,譲渡
ジン,ジン
法律,法律
奇麗,奇麗
くり,くり
ブランド,ブランド
ファイア,ファイア
脱走,脱走
ラック,ラック
乗れる,乗れ
正しい,正しく
天罰,天罰
太る,太っ
ゴースト,ゴースト
追いつける,追いつけ
出し物,出し物
容姿,容姿
初代,初代
娯楽,娯楽
あまた,あまた
休学,休学
文房具,文房具
罫線,罫線
五線譜,五線譜
陰り,陰り
リズム,リズム
終止符,終止符
パイロット,パイロット
おばけ,おばけ
クラい,クラ
ご利益,ご利益
エイリアン,エイリアン
いす,いす
近頃,近頃
鍛冶,鍛冶
寝技,寝技
オータム,オータム
設備,設備
いらっしゃる,いらっしゃっ
預かる,預かる
凝縮,凝縮
すっきり,すっきり
洗剤,洗剤
本意,本意
枕,枕
ノック,ノック
天ぷら,天ぷら
駅前,駅前
ちっと,ちっと
どら,どら
捨てる,捨てろ
でないと,でないと
リラックス,リラックス
そうすると,そうすると
引き止める,引き止め
結論,結論
帰す,帰し
引き受ける,引き受ける
盛大,盛大
手伝う,手伝え
反射,反射
手土産,手土産
絶える,絶え
手料理,手料理
駆けつける,駆けつける
喜ぶ,喜ば
熟,熟
ことわり,ことわり
遅れる,遅れる
目覚め,目覚め
長男,長男
高価,高価
振る舞い,振る舞い
家系,家系
律儀,律儀
相応,相応
お年,お年
地帯,地帯
授かる,授かっ
善人,善人
向かう,向かわ
損ねる,損ね
為,為
横取り,横取り
ネ,ネ
引っかかる,引っかかっ
別物,別物
えむ,えん
独り言,独り言
出血,出血
かする,かすり
致命,致命
異論,異論
つまむ,つまん
ほな,ほな
向き合う,向き合う
短時間,短時間
断言,断言
謙虚,謙虚
薄い,薄く
ピカピカ,ピカピカ
こもる,こもり
健全,健全
黒幕,黒幕
捉える,捉え
憑依,憑依
しめる,しめ
犯す,犯し
児,児
話し合う,話し合っ
神体,神体
手袋,手袋
映え,映え
人達,人達
埋まる,埋まっ
最適,最適
本質,本質
生み出す,生み出さ
カウンター,カウンター
同等,同等
強豪,強豪
背負う,背負う
騒がせる,騒がせ
不安定,不安定
先手,先手
着替える,着替える
請求,請求
浴場,浴場
競走,競走
水泳,水泳
リボン,リボン
レンタル,レンタル
爆破,爆破
苦い,苦い
ショート,ショート
思春,思春
片づける,片づける
真っ,真っ
隠し事,隠し事
リード,リード
走れる,走れ
折れる,折れる
鬼ごっこ,鬼ごっこ
成す,成せ
大義,大義
回り,回り
負える,負え
直せる,直せる
高値,高値
後方,後方
ガス,ガス
手伝える,手伝える
時分,時分
心がけ,心がけ
小型,小型
大昔,大昔
支障,支障
鮮やか,鮮やか
パー,パー
整う,整い
乗れる,乗れる
溶け合う,溶け合う
